filename,x,y,w,h
AAaEhTDjvflVmVcx.png,174,8,51,53
ACCPNEaSatKFPAeU.png,30,152,59,78
ACHHfiWvnSQdZPZj.png,226,180,20,31
ACOGTfQVEiuGBybA.png,104,124,24,32
ACzEazVtZtzTBcjw.png,6,65,40,77
ADIqJvZAUlaPDphk.png,92,203,21,50
ADLUHUMjnNayarCo.png,94,222,24,26
AECjRXyJCYakDiaw.png,91,90,58,74
AEEIiPDppBNBmOmP.png,128,181,21,70
AEYQnqYqyvFxColm.png,169,186,33,30
AFKCNuOKPDkTVZUn.png,119,12,78,23
AGmYMKeUzsnoslBf.png,112,121,32,29
AHJoYaCbqAwWECqC.png,88,180,80,27
AICrwvPiaIQBjjME.png,100,36,76,45
AIFSxyHABKjcOLeE.png,45,162,64,63
AILZBlkMDGZmUAAv.png,37,76,55,65
AJtxpcsrrGmNEbLA.png,133,2,67,38
AKHuPLVqFZdaoPuX.png,124,134,80,22
AOVBOistWskNOvOZ.png,30,34,18,61
AOWOOmhcwUMPymgL.png,55,197,79,29
APJmSihZOHUQczFj.png,91,163,37,76
APUCXFQZYfCopDmW.png,144,126,69,78
AQMHeFyAEPJNcOxp.png,190,50,51,48
ASCHQiuxtolFaigv.png,119,180,27,60
ASIPKuxYxfxpvVPI.png,131,69,60,53
ASMpOuIIopPabTgA.png,133,137,56,74
ASSWsaaTLXKfbKgo.png,30,146,39,22
ASkvZUgwiHnPPVVE.png,81,5,73,62
ATiGwRNEHWgLOGhM.png,182,56,36,53
AUTXGNwQDengAvHe.png,38,175,62,25
AVqDQZlapHTqiHzz.png,106,230,31,18
AWMKOjuPJdoTctkI.png,10,31,47,50
AWzBfULkiEvyDAUV.png,58,143,45,34
AYNgvSupbQmLdtcM.png,114,63,48,80
AYTPkjFQGjheyiBw.png,41,146,61,34
AYXmhSOlRzbRKnHd.png,167,46,67,24
AYjGiJwmubceLMVr.png,162,190,67,56
AYlVRkUErAZoPatY.png,151,94,78,44
AZCZKVHkjhgfEpIE.png,146,27,77,37
AZMVgEShWvAToAkQ.png,36,171,17,58
AaKfwEipfydaAxCQ.png,152,226,49,22
AarFRohXbhkyZukq.png,163,186,69,34
AbcxpxzqqrYXpIUs.png,178,119,72,19
AbjQrImEZakMwgBp.png,177,158,24,48
AbsMsQYwaxVTatLc.png,52,171,42,57
AcYxMqUClDAIWYke.png,104,218,55,16
AezWbZqfRCrOfrjy.png,12,42,79,41
AfCJyVCLideyuuJf.png,173,10,49,23
AfxJFuNrJjxRwegc.png,136,64,47,71
AgMvWrkLYhVeCXWS.png,93,159,77,62
AgTAuqyKraInOSJA.png,46,6,42,30
AgyFAXIYVeTaNjNA.png,106,128,49,22
AhgrFKOGgjItwlFL.png,71,29,38,24
AhjBIJshdGORMTMU.png,117,19,53,40
AinGMJooTQfpzsPy.png,52,41,76,33
AjEfMzTOpFHtPZNk.png,6,141,23,73
AjauPGrNoFnzrJFm.png,149,114,34,19
AlBPXSXXbCcwnIjm.png,27,37,77,70
AlGdRQfUAJMVjrRW.png,203,28,23,16
AlJjIpneGBoEunRz.png,39,129,50,19
AlSGTqADmTzjmhKt.png,197,39,31,21
AnFQZZmYUKQiYTve.png,156,173,74,31
AnUTInIGzfhTosqx.png,53,21,57,57
AqcbclvIwfESfqkl.png,84,96,51,16
AqeuyuQDQBYMSsmy.png,109,180,57,60
ArECJItFqHBTYyTG.png,162,140,66,51
ArEVARzTGcKkmFKz.png,111,133,71,27
AsQmdzFZOTjpDaQN.png,119,57,25,80
AsRIiKsFFUFAfzPP.png,128,171,70,74
AsaErIrrvWfBjfzo.png,113,110,69,66
AtvximdwDsIASMPZ.png,154,57,78,73
AvHsDraHstleRsWC.png,74,33,26,34
AwDGDdQcsiEntzhL.png,63,136,41,16
AwXAcxQRQRBiOJRF.png,209,167,28,43
AwjbdWPnnNMhAgEA.png,6,64,64,21
AwulIUAPzgHmLfkz.png,71,40,46,17
Axaivxsnipmhepzt.png,26,136,41,54
AxgRlWgnnNvbnUtb.png,119,165,71,56
AxxsDGARLthMtrkl.png,183,106,33,38
AyCpHZmmjtfgpaKZ.png,84,68,62,22
AyHByFOTpbQbulnr.png,67,141,28,69
AyKLGWkZdIlLEzDS.png,217,6,17,25
AyhUHtITzOLINigd.png,186,63,54,73
AywiwqVvXgMkKzjb.png,98,87,45,29
AzCMCseVAkUTIXkL.png,117,158,79,42
BAGVBAmwRSeiaZEk.png,186,4,63,40
BBDQmIstJoqbzsyu.png,15,58,31,58
BBomstGNKTYvSZsB.png,48,92,19,17
BCXvPhETAqhvwOMr.png,145,7,18,59
BEBvoAkJeLpeIrrK.png,66,39,69,60
BEMCOqavtRDjxgjK.png,133,45,39,37
BEytHzvgjnsCFegv.png,151,32,73,71
BFaLyWSvmCtWMwyQ.png,73,35,70,43
